5_1, Accuracy for video,0.639, Accuracy for ear,0.561
5_2, Accuracy for video,0.611, Accuracy for ear,0.536
5_3, Accuracy for video,0.639, Accuracy for ear,0.573
5_4, Accuracy for video,0.722, Accuracy for ear,0.578
5_5, Accuracy for video,0.556, Accuracy for ear,0.467
lan 2: 5_1, Accuracy for video,0.611, Accuracy for ear,0.494
lan 2: 5_2, Accuracy for video,0.639, Accuracy for ear,0.538
lan 2: 5_3, Accuracy for video,0.639, Accuracy for ear,0.549
lan 2: 5_4, Accuracy for video,0.333, Accuracy for ear,0.519
lan 2: 5_5, Accuracy for video,0.5, Accuracy for ear,0.429
lan 2: 5_1, Accuracy for video,0.583, Accuracy for ear,0.498
lan 2: 5_2, Accuracy for video,0.417, Accuracy for ear,0.499
lan 2: 5_3, Accuracy for video,0.639, Accuracy for ear,0.588
lan 2: 5_4, Accuracy for video,0.639, Accuracy for ear,0.588
lan 2: 5_5, Accuracy for video,0.583, Accuracy for ear,0.452
