5_1, Accuracy for video,0.667, Accuracy for ear,0.499
5_2, Accuracy for video,0.778, Accuracy for ear,0.55
5_3, Accuracy for video,0.667, Accuracy for ear,0.515
5_4, Accuracy for video,0.639, Accuracy for ear,0.47
5_5, Accuracy for video,0.611, Accuracy for ear,0.484
10_1, Accuracy for video,0.639, Accuracy for ear,0.516
10_2, Accuracy for video,0.639, Accuracy for ear,0.521
10_3, Accuracy for video,0.667, Accuracy for ear,0.486
10_4, Accuracy for video,0.556, Accuracy for ear,0.448
10_5, Accuracy for video,0.5, Accuracy for ear,0.449
20_1, Accuracy for video,0.528, Accuracy for ear,0.481
20_2, Accuracy for video,0.667, Accuracy for ear,0.551
20_3, Accuracy for video,0.611, Accuracy for ear,0.443
20_4, Accuracy for video,0.583, Accuracy for ear,0.453
20_5, Accuracy for video,0.556, Accuracy for ear,0.474
30_1, Accuracy for video,0.528, Accuracy for ear,0.387
30_2, Accuracy for video,0.556, Accuracy for ear,0.496
30_3, Accuracy for video,0.583, Accuracy for ear,0.455
30_4, Accuracy for video,0.472, Accuracy for ear,0.51
30_5, Accuracy for video,0.583, Accuracy for ear,0.44
1_1, Accuracy for video,0.417, Accuracy for ear,0.457
1_2, Accuracy for video,0.361, Accuracy for ear,0.472
1_3, Accuracy for video,0.667, Accuracy for ear,0.475
1_4, Accuracy for video,0.75, Accuracy for ear,0.525
1_5, Accuracy for video,0.528, Accuracy for ear,0.498
3_1, Accuracy for video,0.667, Accuracy for ear,0.497
3_2, Accuracy for video,0.333, Accuracy for ear,0.562
3_3, Accuracy for video,0.667, Accuracy for ear,0.602
3_4, Accuracy for video,0.667, Accuracy for ear,0.447
3_5, Accuracy for video,0.611, Accuracy for ear,0.453
